,0
531, Big data solutions and the quality of data in data lakes should not generate additional risk to the business or be a roadblock to application development and user adoption
532," These solutions must meet the highest levels of enterprise information governance , compliance , and regulation without stifling the democratization , agility , and openness promised by big data ."
533," In this new world order , data collection must come with a corporate responsibility to protect data"
534," Sometimes this is a legal requirement , as in the EU’s data protection regulation ( aka GDPR ) , Russia’s federal law on personal data , and Germany’s Bundesdatenschutzgesetz ( BDSG ) , but many times , it’s only a social responsibility , a quite complicated and gray area—it’s all about what you feel is “right.”"
535, Join DJ Patil and Lynn Overmann to ask your questions about data science at the White House .
536," With so much variance across Hadoop distributions , ODPi was established to create standards for both Hadoop components and testing applications on those components"
537, The Linux Foundation’s John Mertic offers an overview of ODPi and its benefits before IBM’s Berni Schiefer discusses applications such as IBM Big SQL that have been designed to work with ODPi-compliant Hadoop distributions
538, Join in to learn how application developers and companies considering Hadoop can benefit from ODPi .
539," Big data offers the possibility of deep insights into marketing programs and business operations , as well as a 360-degree view of customers and competitors"
540," For many enterprises , being able to achieve such results means combining new and traditional data sources and modernizing ETL and data warehouse applications"
541," These tasks seem easy during research and proof-of-concept phases , but complexity grows exponentially when moving toward enterprise-grade implementations ."
542," Scott Gnau provides unique insights into the tipping point for data , how enterprises are now rethinking everything from their IT architecture and software strategies to data governance and security , and the cultural shifts CIOs must grapple with when supporting a business using real-time data to scale and grow ."
543," Ready to take a deeper look at how Hadoop and its ecosystem has a widespread impact on analytics ? Douglas Liming explains where SAS fits into the open ecosystem , why you no longer have to choose between analytics languages like Python , R , or SAS , and how a single , unified open analytics architecture empowers you to literally have it all ."
544," Launched in late 2015 , Cigna’s enterprise data lake project is taking the company on a data governance journey"
545," Using Podium as the software platform for its data lake , Cigna’s data Management and Governance teams are eliminating silos of activity and creating a common thread of activity—based on a shared platform of metadata—to connect and align activities across technical teams and business processes ."
546," While traditional methods may be proficient to collect and analyze uniform data , utilizing multiple structured and unstructured external data sources can be challenging"
547, Joe Caserta explains how one of the largest membership interests groups in the country makes sense of the influx of information from streaming external data sources
548," This challenge is exciting because aside from collecting data from its ~40 million members , the group also needs to monitor digital and traditional interactions cohesively to predict and optimize a member’s path to purchase ."
549," Mariusz Gądarowski offers an overview of Neptune , deepsense.io’s new IT platform-based machine-learning experiment management solution for data scientists"
550," Deepsense.io uses technologies such as Theano , TensorFlow , Lasagne , scikit-learn , and Apache Spark to carry out machine-learning tasks"
551, Neptune seamlessly integrates with these technologies and makes them easier to use
552," Neptune enhances the management of machine-learning tasks such as dependent computational processes , code versioning , comparing achieved results , monitoring tasks and progress , sharing infrastructure among teammates , and many others ."
553," Strata + Hadoop World program chairs Roger Magoulas , Doug Cutting , and Alistair Croll welcome you to the second day of keynotes ."
554," In a few short years , cloud has risen from an aspirational concept to an enterprise mandate"
555," As workloads move to the cloud , a new set of concerns in the data center are emerging , including data security , portability , and governance"
556," Cloudera CEO Tom Reilly and James Powell , global CTO of Nielsen , discuss the dynamics of Hadoop in the cloud , what to consider at the start of the journey , and how to implement a solution that delivers flexibility while meeting key enterprise requirements ."
557," When Hollywood portrays artificial intelligence , it’s either a demon or a savior"
558, But the reality is that AI is far more likely to be an extension of ourselves
559, Strata program chair Alistair Croll looks at the sometimes surprising ways that machine learning is insinuating itself into our everyday lives .
560," Will machine learning give us better eyesight ? Join Joseph Sirosh for a surprising story about how machine learning , population data , and the cloud are coming together to fundamentally reimagine eye care in one of the world’s most populous countries , India ."
561," The Panama Papers investigation revealed the offshore holdings and connections of dozens of politicians and prominent public figures around the world and led to high-profile resignations , police raids , and official investigations"
562," Almost 500 journalists , coordinated by the International Consortium of Investigative Journalists and Süddeutsche Zeitung , had to sift through 2.6 terabytes of data—the biggest leak in the history of journalism"
563, Mar Cabra explains how technology made it all possible .
564," The need to quickly acquire , process , prepare , store , and analyze data has never been greater"
565," The need for performance crosses the big data ecosystem too—from the edge to the server to the analytics software , speed matters"
566, Raghunath Nambiar shares a few use cases that have had significant organizational impact where performance was key .
567, Chad W
568, Jennings demonstrates the power of BigQuery through an exciting demo and announces several new features that will make BigQuery a better home for your enterprise big data workloads .
569, Keynote by DJ Patil and Lynn Overmann
570," Data has long stopped being structured and flat , but the results of our analysis are still rendered as flat bar charts and scatter plots"
571," We live in a 3D world , and we need to be able to enable data interaction from all perspectives"
572, Robert Thomas offers an overview of Immersive Visualization—integrated with notebooks and powered by Spark—which helps bring insights to life .
573," We have more data than ever before , by many orders of magnitude , yet “strong” artificial intelligence remains elusive"
574," Some notorious difficult problems like speech recognition and the game of Go have recently seen spectacular advances , yet no machine can understand language as well as three-year-old child"
575, Gary Marcus explores the gap between what machines do well and what people do well and what needs to happen before machines can match the flexibility and power of human cognition .
576, Hadoop and its ecosystem mean new possibilities for analytics
577, We’ve shifted from sample-based assessments to all-inclusive investigations
578, The result ? Deeper insights and more relevant actions
579," Paul Kent offers an overview of SAS’s participation in open platforms and introduces SAS Viya , a new unified and open analytics architecture that lets you scale analytics in the cloud and code as you choose ."
580," Although 2016 is a highly unusual political year , elections and public opinion follow predictable statistical properties"
581," Sam Wang explains how the presidential , Senate , and House races can be tracked and forecast from freely available polling data using tools from statistics and machine learning"
582," These approaches offer a deeper understanding of the US political scene , even under extreme circumstances ."
583, Birds of a Feather ( BoF ) discussions are a great way to informally network with people in similar industries or interested in the same topics .
